"_id",uniqueClientIdsCount,uniqueTrainingPersonIdsCount,uniqueClientIds.0,uniqueClientIds.1,uniqueClientIds.2,uniqueClientIds.3
47.104.203.201,1,3144,009,,,
218.78.23.50,1,867,12100000717800718J,,,
47.96.17.4,1,531,ZYJY_JXJY@ANHUI,,,
121.196.193.131,1,495,ZYJY_JXJY@ANHUI,,,
47.99.99.5,1,134,010,,,
183.166.187.4,4,95,dc001,004,dongao123,ZHKJAH
112.26.233.230,2,21,dongao123,004,,
110.249.158.114,2,20,dongao123,ZHKJAH,,
60.172.158.14,2,20,ZHKJAH,dongao123,,
60.175.184.229,3,18,004,ZHKJAH,dongao123,
61.132.251.158,3,18,004,dongao123,ZHKJAH,
60.173.87.6,3,16,004,dongao123,ZHKJAH,
106.8.149.248,3,16,004,ZHKJAH,dongao123,
60.173.163.99,3,15,004,ZHKJAH,dongao123,
183.60.174.140,3,14,004,ZHKJAH,dongao123,
112.26.19.110,2,14,ZHKJAH,dongao123,,
61.190.204.158,3,13,004,ZHKJAH,dongao123,
220.180.83.2,4,13,dc001,004,ZHKJAH,dongao123
183.167.252.133,2,13,ZHKJAH,dongao123,,
58.242.87.162,2,12,ZHKJAH,dongao123,,
112.26.242.243,2,12,ZHKJAH,dongao123,,
220.179.174.212,3,12,004,ZHKJAH,dongao123,
112.122.139.14,3,11,004,ZHKJAH,dongao123,
223.215.191.10,3,11,004,ZHKJAH,dongao123,
60.175.3.67,3,11,004,dongao123,ZHKJAH,
218.23.56.46,2,11,ZHKJAH,dongao123,,
60.174.128.52,3,11,004,ZHKJAH,dongao123,
211.141.203.70,3,11,004,ZHKJAH,dongao123,
218.22.66.34,2,11,ZHKJAH,dongao123,,
220.178.74.10,3,10,004,ZHKJAH,dongao123,
61.132.139.122,2,10,ZHKJAH,dongao123,,
220.180.184.4,2,10,dongao123,ZHKJAH,,
218.22.173.89,3,10,004,ZHKJAH,dongao123,
60.173.87.4,3,10,004,ZHKJAH,dongao123,
218.22.185.132,1,10,ZHKJAH,,,
60.173.78.70,3,10,004,ZHKJAH,dongao123,
220.180.238.73,2,10,004,dongao123,,
220.180.207.207,2,10,ZHKJAH,dongao123,,
60.171.153.98,2,9,dongao123,ZHKJAH,,
