"_id",uniqueClientIdsCount,uniquePersonCourseIdsCount
47.104.203.201,1,6412
218.78.23.50,1,2263
47.96.17.4,1,775
121.196.193.131,1,755
183.166.187.4,4,284
47.99.99.5,1,259
112.26.233.230,2,87
60.173.163.99,3,75
112.26.19.110,2,69
183.167.252.133,2,61
60.174.128.52,3,59
60.172.158.14,2,57
60.173.87.6,3,55
60.175.184.229,3,55
61.132.251.158,3,54
60.168.146.39,1,52
61.190.204.158,3,50
112.29.99.205,1,49
60.171.153.98,2,44
223.215.191.10,3,44
60.175.3.67,3,43
106.8.149.248,3,41
218.22.185.132,1,39
60.173.78.70,3,39
114.105.148.121,1,38
220.179.174.212,3,38
183.60.174.140,3,37
218.22.147.83,2,37
220.179.122.70,2,37
112.26.82.51,3,36
220.180.83.2,4,36
218.23.56.46,2,36
220.178.148.44,2,36
112.26.242.243,2,35
218.22.66.34,2,35
112.53.236.74,2,34
58.242.184.110,2,33
218.22.176.230,3,33
220.179.157.46,2,33
114.105.105.46,1,33
103.202.192.245,2,33
112.122.139.14,3,32
112.53.233.13,2,32
60.173.87.4,3,31
60.169.22.205,3,31
220.179.1.238,1,30
218.22.182.38,1,30
114.99.121.96,2,30
36.33.43.95,3,29
220.180.50.224,2,29
60.174.128.58,3,29
110.249.158.114,2,29
60.171.173.7,2,29
60.170.38.113,2,29
111.39.9.225,2,29
220.179.26.167,2,28
60.173.82.156,3,28
60.174.50.202,2,28
60.173.82.22,2,27
36.4.201.35,1,27
223.241.247.138,3,27
58.242.114.66,3,27
220.180.184.4,2,27
60.174.128.50,2,26
60.172.144.74,3,26
60.170.236.212,2,26
218.23.216.252,2,26
60.173.130.195,1,26
60.171.208.139,2,25
60.171.132.201,2,25
112.26.58.179,2,25
112.26.19.108,2,25
117.57.64.73,3,25
61.132.139.122,2,25
60.174.93.89,2,25
60.170.181.82,1,25
220.179.251.130,3,25
114.104.163.167,1,24
58.242.120.74,1,24
58.242.39.98,2,24
218.22.169.6,2,24
58.242.136.165,3,23
60.174.128.55,2,23
60.173.85.67,1,23
218.22.201.174,1,23
218.22.116.43,2,23
218.22.206.54,2,23
60.169.120.109,2,23
112.30.39.8,1,23
220.180.203.7,3,23
223.241.214.82,2,22
61.191.248.170,2,22
112.27.32.232,1,22
112.132.249.130,2,22
