"_id",studentCount
61.191.79.24,8
61.191.149.220,2
61.133.143.40,2
60.175.44.252,4
60.175.3.67,12
60.175.255.30,2
60.174.93.89,6
60.174.34.66,2
60.174.213.224,2
60.174.193.109,2
60.174.192.209,4
60.173.76.184,4
60.173.70.102,3
60.173.3.34,1
60.173.208.242,1
60.172.149.3,5
60.171.42.18,1
60.171.40.103,1
60.171.142.119,3
60.171.137.114,3
60.170.38.113,7
60.170.26.22,4
60.170.212.4,1
60.170.156.244,1
60.169.87.131,5
60.169.224.200,1
60.166.190.178,1
60.166.190.156,1
58.243.237.48,1
58.243.155.177,1
58.242.81.58,2
49.76.129.160,4
39.146.97.42,1
39.146.87.211,1
39.146.35.173,1
60.170.26.21,1
39.146.34.43,1
39.146.34.27,1
39.144.38.229,1
39.144.38.218,1
39.144.38.216,1
39.144.38.184,1
39.144.241.62,1
39.144.240.243,1
39.144.238.115,1
39.144.162.39,1
39.144.161.24,1
60.170.180.3,2
39.144.159.58,1
60.171.236.250,7
39.144.159.222,1
36.7.50.27,1
36.7.36.79,1
36.7.210.167,1
36.63.72.186,2
36.63.47.29,1
36.63.46.119,2
36.63.44.71,1
36.63.3.61,2
60.173.82.22,10
39.144.38.54,1
36.63.27.12,1
36.63.24.83,2
36.63.226.201,1
36.63.219.85,1
36.63.202.222,1
36.63.217.169,1
36.63.2.39,2
36.63.181.159,2
36.63.1.244,4
36.62.85.192,1
36.62.84.68,1
60.174.230.41,3
36.62.84.49,1
36.62.84.157,1
36.62.227.4,1
36.62.227.255,2
36.62.206.102,1
36.62.205.43,1
36.62.199.222,2
36.62.175.184,1
60.169.22.205,9
36.62.172.127,2
36.62.17.82,1
36.62.16.69,1
36.62.149.180,1
36.62.149.171,1
36.62.148.212,2
36.6.7.94,3
36.6.7.52,2
36.6.7.195,2
36.6.7.185,4
60.171.109.62,1
36.6.7.113,1
36.6.65.145,2
36.6.64.229,2
36.6.64.14,1
58.242.220.58,1
36.6.4.145,2
36.6.4.131,2
36.6.39.7,1
36.6.38.16,1
36.6.1.133,2
36.59.115.99,1
36.59.112.41,1
36.59.112.118,2
36.57.99.85,2
