"_id",uniqueClientIdsCount,uniqueTrainingPersonIdsCount
47.104.203.201,1,3330
218.78.23.50,1,875
47.96.17.4,1,549
121.196.193.131,1,495
47.99.99.5,1,235
183.166.187.4,7,109
112.26.233.230,3,37
60.172.158.14,7,26
60.175.184.229,3,24
183.60.174.140,4,23
218.22.147.83,3,23
106.8.149.248,5,23
110.249.158.114,2,22
223.244.226.15,3,21
183.166.187.7,6,20
61.132.251.158,4,20
114.104.171.128,5,19
60.173.87.6,6,19
112.26.19.110,3,18
220.179.174.212,5,18
61.190.204.158,3,16
60.173.163.99,6,16
220.180.83.2,6,16
112.122.139.14,3,15
60.175.184.228,2,15
58.242.87.162,4,15
183.166.187.6,5,14
211.141.203.70,4,14
124.65.129.74,1,13
60.174.128.50,4,13
183.167.252.133,3,13
60.174.128.52,3,13
183.166.187.10,4,13
220.180.207.207,3,13
112.123.239.85,2,12
60.175.3.67,3,12
218.23.56.46,2,12
112.26.242.243,2,12
218.22.185.132,1,12
223.214.124.100,3,12
60.173.78.70,5,12
223.215.191.10,3,11
183.162.219.162,3,11
60.174.128.58,5,11
218.22.173.89,4,11
60.173.82.156,4,11
60.173.87.4,3,11
218.22.116.43,2,11
218.22.66.34,2,11
112.31.177.93,3,11
60.173.82.22,4,10
58.242.87.132,3,10
220.178.74.10,4,10
183.166.59.156,4,10
61.132.139.122,2,10
220.180.184.4,2,10
58.242.244.242,4,10
60.175.184.227,4,10
220.180.238.73,2,10
220.180.7.194,3,10
218.22.169.6,2,10
60.171.153.98,2,9
112.53.233.13,2,9
58.242.131.172,3,9
183.167.205.51,1,9
117.71.52.238,5,9
58.242.245.178,3,9
112.26.19.106,4,9
60.172.160.47,3,9
218.22.176.230,4,9
220.180.50.224,3,9
60.170.181.82,1,9
112.26.19.103,2,9
60.173.219.123,3,9
218.23.216.252,3,9
112.27.239.12,5,9
111.39.9.225,2,9
112.26.19.105,5,9
220.179.251.130,3,9
60.169.22.205,4,9
218.22.6.126,3,9
220.178.148.44,2,9
220.180.203.7,3,9
60.170.190.38,3,8
60.172.160.56,5,8
58.242.184.110,2,8
218.22.173.92,2,8
112.132.249.161,4,8
36.4.201.35,1,8
114.105.148.121,1,8
58.242.131.173,3,8
114.104.157.234,3,8
58.242.245.181,4,8
60.174.165.241,2,8
112.53.236.74,3,8
61.191.79.24,1,8
211.141.181.190,5,8
58.242.114.66,4,8
220.179.157.46,2,8
27.151.123.121,3,8
112.26.19.108,2,8
117.57.64.73,4,8
36.56.153.41,2,8
220.179.122.70,2,8
183.161.35.10,4,8
117.71.48.30,2,8
220.178.1.34,3,8
60.169.88.131,5,8
39.107.180.20,1,8
218.23.216.255,5,8
111.39.105.214,3,7
112.26.19.102,4,7
220.180.150.245,3,7
220.178.74.11,4,7
60.174.128.53,3,7
60.173.87.7,2,7
58.242.244.244,4,7
60.169.88.194,5,7
114.223.209.232,3,7
124.112.195.188,6,7
112.123.239.82,6,7
60.168.146.39,1,7
36.148.183.21,2,7
220.178.74.9,4,7
218.23.216.253,4,7
60.172.160.58,3,7
183.161.35.14,3,7
112.26.19.107,2,7
114.99.127.224,3,7
60.170.38.113,2,7
114.105.105.46,1,7
58.242.244.245,4,7
60.174.128.56,6,7
60.172.0.128,3,7
218.23.241.122,3,7
114.99.43.204,3,7
220.178.246.85,3,7
60.171.236.250,3,7
218.23.86.11,2,7
218.23.237.240,2,7
61.190.202.170,2,7
61.191.65.110,2,7
114.104.90.200,5,6
111.39.140.240,1,6
112.32.181.241,2,6
60.175.84.159,2,6
