trainingPersonId,totalDuration
a8d382bb10a811ec8871b07b25146e9e,1062822
e5c73781693211ecb369fa164011f743,1274111
957f362610ac11ec8871b07b25146e9e,3859678
d8c6a5d610a711ec8871b07b25146e9e,4071339
222af8bb10bf11ec8216b07b25146e9e,4127561
77644e24168211eca228fa164011f743,2039464
78fbe95d10ab11ec8871b07b25146e9e,7193949
0345298f10a811ec8871b07b25146e9e,1749390
9abfcbe310c611ec8216b07b25146e9e,8769744
5eb8efb26dd511ecb369fa164011f743,3127777
7033c76f10a811ec8871b07b25146e9e,4287631
757f5fb1178a11eca228fa164011f743,8225482
d6c1f2e610c111ec8216b07b25146e9e,5362400
6c2d769210a811ec8871b07b25146e9e,10293599
c4be5aeb10aa11ec8871b07b25146e9e,5819758
c201777c10ab11ec8871b07b25146e9e,9836996
7f6d7528cc1c11eca4f5fa164011f743,15347361
28a0199810a811ec8871b07b25146e9e,13103856
266a240610ab11ec8871b07b25146e9e,8689779
5b2e3b13110811ec8216b07b25146e9e,6926596
90db9a906e1b11ecb369fa164011f743,3592166
a53de6fc10c111ec8216b07b25146e9e,3499288
ae0ee41210a811ec8871b07b25146e9e,3424650
79276a0210cb11ec8216b07b25146e9e,4717543
281a7c2d6dcc11ecb369fa164011f743,234884
c13bb50a10a911ec8871b07b25146e9e,8489068
781b5676540511ecb369fa164011f743,9469954
b1b17b7a7cb911ecb17dfa164011f743,8173986
1cb0ca87566111ecb369fa164011f743,13000152
707274dd10a911ec8871b07b25146e9e,4635423
84e2731a6e9e11ecb369fa164011f743,1184465
a7e80e40accb11ed82a1fa164011f743,373562
a4f8b61fa95d11eebde5fa164011f743,4491164
c226794310c211ec8216b07b25146e9e,13629327
5550f37710aa11ec8871b07b25146e9e,12283765
dad8d1ed10a711ec8871b07b25146e9e,18679700
ec880dec10aa11ec8871b07b25146e9e,16675111
5ae7b24910ab11ec8871b07b25146e9e,18053597
3566553910c311ec8216b07b25146e9e,6977032
89e9215689d011eebde5fa164011f743,615272
1983911810ac11ec8871b07b25146e9e,11972813
9ff39f3310ab11ec8871b07b25146e9e,12595752
f005242e10a711ec8871b07b25146e9e,15778793
36a88b1910a811ec8871b07b25146e9e,19910738
6737e1a510c211ec8216b07b25146e9e,3837494
2044bfcc10ab11ec8871b07b25146e9e,13614695
6110e3b410a911ec8871b07b25146e9e,3342571
35df56cb10ab11ec8871b07b25146e9e,19689002
cba6180b10c711ec8216b07b25146e9e,12084790
2b02bc2a10ab11ec8871b07b25146e9e,15656548
5ed4a50b10ac11ec8871b07b25146e9e,8929538
3e22525010c011ec8216b07b25146e9e,10986153
ceec39a110ab11ec8871b07b25146e9e,75058283
911cd34f10a911ec8871b07b25146e9e,5426731
010385a510a811ec8871b07b25146e9e,1944271
a2e71c603b2411eeb806fa164011f743,7424480
0e9589d4b40b11eebde5fa164011f743,1821062
12320d4810a811ec8871b07b25146e9e,4994822
cd30c9ff10c411ec8216b07b25146e9e,2473369
9278d2e110c311ec8216b07b25146e9e,18817980
c6abc41e10a811ec8871b07b25146e9e,2434463
cc1f96a310a911ec8871b07b25146e9e,20526361
9504385d10a911ec8871b07b25146e9e,18015397
5f02cc6e10c611ec8216b07b25146e9e,1989214
7f2d099d10a911ec8871b07b25146e9e,20957974
07f1b41f10c211ec8216b07b25146e9e,12962621
e7cea4b510a711ec8871b07b25146e9e,4798952
20f6b7bf10ac11ec8871b07b25146e9e,4473980
4c4f827a10a911ec8871b07b25146e9e,5139177
f42de9e410aa11ec8871b07b25146e9e,1308956
7f657e9c10ab11ec8871b07b25146e9e,15800136
fca7fcee10c211ec8216b07b25146e9e,6139481
ccfce44510ab11ec8871b07b25146e9e,4945671
078617cd10ab11ec8871b07b25146e9e,2624818
b7c3fea410a811ec8871b07b25146e9e,31785107
8df9905210a811ec8871b07b25146e9e,12304039
ce41887a10a811ec8871b07b25146e9e,6453660
18ac691c10a911ec8871b07b25146e9e,21184909
c52883ef10ab11ec8871b07b25146e9e,5545174
3c1cf58c10ab11ec8871b07b25146e9e,7848054
63fd5b4f6a2411ecb369fa164011f743,7161624
a09b87e810ac11ec8871b07b25146e9e,8770879
8217e5a710ac11ec8871b07b25146e9e,10407350
ed0dffd210ab11ec8871b07b25146e9e,38000186
f9b6f7d010a711ec8871b07b25146e9e,17583014
01448f6f10a911ec8871b07b25146e9e,9520296
3a0dcbaf10cb11ec8216b07b25146e9e,15343726
2153579510ab11ec8871b07b25146e9e,16464887
a1570ae010a811ec8871b07b25146e9e,1751779
6f518eb610cb11ec8216b07b25146e9e,7782692
6927921810ac11ec8871b07b25146e9e,18129363
520fb93610a911ec8871b07b25146e9e,17700668
6bf52c8d10cb11ec8216b07b25146e9e,25960031
853a125310a911ec8871b07b25146e9e,3222226
857e03e110a811ec8871b07b25146e9e,20778358
02bfbb1110aa11ec8871b07b25146e9e,19313772
fee3ebd610c711ec8216b07b25146e9e,13803313
821bb34d10a911ec8871b07b25146e9e,18175596
ffeb99c8ebd011edab80fa164011f743,26597189
8556c90b10a811ec8871b07b25146e9e,14949346
c7a014bb10a811ec8871b07b25146e9e,9254764
2eaa8d9510aa11ec8871b07b25146e9e,16251718
5123bd0d775311ecb369fa164011f743,18248551
597893b610ab11ec8871b07b25146e9e,31278872
24496aad10a811ec8871b07b25146e9e,22452846
7a9c3dd510c011ec8216b07b25146e9e,7221872
d215c59f10c711ec8216b07b25146e9e,9858017
56d7f03510ab11ec8871b07b25146e9e,36501373
0b317f3510ac11ec8871b07b25146e9e,12121702
95ff2f5610a811ec8871b07b25146e9e,88676995
e38b0fc610a711ec8871b07b25146e9e,3035391
8e9f2da410ac11ec8871b07b25146e9e,463364
0066891710c511ec8216b07b25146e9e,83141357
e8cddb1910aa11ec8871b07b25146e9e,38270169
4268a41010c111ec8216b07b25146e9e,21486043
2dac8e0510ab11ec8871b07b25146e9e,42526921
e599877110a811ec8871b07b25146e9e,16109666
93e5383210a911ec8871b07b25146e9e,86584204
071f0fb810aa11ec8871b07b25146e9e,22226839
d12eaba14d8c11ecb369fa164011f743,2247269
19ab080210a911ec8871b07b25146e9e,21043224
5bebfd9810c711ec8216b07b25146e9e,33256071
ebfbe3db10a911ec8871b07b25146e9e,18504164
94e2b45210a911ec8871b07b25146e9e,13534835
7caf60b910bf11ec8216b07b25146e9e,26974576
fb53af4710a811ec8871b07b25146e9e,33190787
8d62686810ac11ec8871b07b25146e9e,16589852
565dbad210c111ec8216b07b25146e9e,5793364
97f00e5a10a911ec8871b07b25146e9e,13024327
dda620f510a711ec8871b07b25146e9e,36995321
f0bbc44610a811ec8871b07b25146e9e,23217202
d1d975a2138711eca228fa164011f743,34273756
ed0ae92110c711ec8216b07b25146e9e,4910201
5a7cbed76ee311ecb369fa164011f743,25295864
535197a72e66432fbf80cb4a2abf3974,10616754
0a538b0410a911ec8871b07b25146e9e,9300099
28ab134910a911ec8871b07b25146e9e,25998882
2fe5736610a811ec8871b07b25146e9e,25113826
f63d4f1710aa11ec8871b07b25146e9e,26373648
8715596710a911ec8871b07b25146e9e,13702065
b1429e0f10a811ec8871b07b25146e9e,25114853
09ceb51c10aa11ec8871b07b25146e9e,23820326
13fd712f79de11ecb17dfa164011f743,43790895
388ac29310a811ec8871b07b25146e9e,17781554
30547a9d712211ecb369fa164011f743,69235144
29f6458b10ab11ec8871b07b25146e9e,30041859
a6b4cc2a10ab11ec8871b07b25146e9e,19853113
ba2d800010c211ec8216b07b25146e9e,5420730
4a13f73a2e7d11edbf26fa164011f743,1202387
1b6ada8d6f8811ecb369fa164011f743,42995669
887a326910a911ec8871b07b25146e9e,14587879
ee12ea2c10ab11ec8871b07b25146e9e,1355564
d13522de10a711ec8871b07b25146e9e,8213185
e8bb015f10a711ec8871b07b25146e9e,21264273
f1736c35294c11efbde5fa164011f743,14696251
83ebb40e10c111ec8216b07b25146e9e,2893352
2cffcc3910c511ec8216b07b25146e9e,41111473
01d907d210a911ec8871b07b25146e9e,29257797
4ae34dba10ab11ec8871b07b25146e9e,4616909
fd089b0a10a811ec8871b07b25146e9e,52034689
8654f96910ca11ec8216b07b25146e9e,2586826
44dddeb010ab11ec8871b07b25146e9e,21590933
5a23d88410c511ec8216b07b25146e9e,7471074
2d662d0010aa11ec8871b07b25146e9e,17923225
1b40672345fd4aca9df4e9dcba7930c1,411714
b7f8ec76af6011ed82a1fa164011f743,6574456
49af456d10a911ec8871b07b25146e9e,14891561
88e31a4610a911ec8871b07b25146e9e,14953577
47a6bc2910a911ec8871b07b25146e9e,6734850
62e200ba10ab11ec8871b07b25146e9e,11813193
f10c1c4c10ca11ec8216b07b25146e9e,12218601
9102f93b10a911ec8871b07b25146e9e,28165852
9b4ea9eea5da11edb6a3fa164011f743,454640
f0edc83f10a711ec8871b07b25146e9e,82767087
c54411a710ab11ec8871b07b25146e9e,9630928
d706c9f267cc11ecb369fa164011f743,20578585
38defabd10c411ec8216b07b25146e9e,15437348
c2b7b66510a811ec8871b07b25146e9e,7406558
f826de0710a811ec8871b07b25146e9e,136233435
63a217c110a911ec8871b07b25146e9e,6714530
6961bce310a811ec8871b07b25146e9e,89072768
8e418f6b10a811ec8871b07b25146e9e,43223960
7e1e244410ac11ec8871b07b25146e9e,109434607
b08c8a3a10a911ec8871b07b25146e9e,16852517
385bced0153411eca228fa164011f743,2013396
824ff82110ac11ec8871b07b25146e9e,2316815
8776e3f16de411ecb369fa164011f743,3205206
1841db4910ac11ec8871b07b25146e9e,30859218
063c009b10a811ec8871b07b25146e9e,76257153
f814f97010a911ec8871b07b25146e9e,8498301
cbde106d10bd11ec8216b07b25146e9e,96047292
f020ca1b10ab11ec8871b07b25146e9e,2172641
d41973e210ab11ec8871b07b25146e9e,41709121
7c7699f8308f11ecb7eafa164011f743,30538630
d1da34f510ab11ec8871b07b25146e9e,7202104
77a4774510c011ec8216b07b25146e9e,1023783
5f186f8310ab11ec8871b07b25146e9e,105461614
718bd09c10a911ec8871b07b25146e9e,93256397
15fb508a10ab11ec8871b07b25146e9e,17563144
12024bc710ac11ec8871b07b25146e9e,161436018
547adf0771c611ecb369fa164011f743,22063408
54d3ae2810ab11ec8871b07b25146e9e,22269253
7edd02b410ab11ec8871b07b25146e9e,409271
b8d8421f10c811ec8216b07b25146e9e,37913952
a0888786a84811edb568fa164011f743,16953836
12b5285810a811ec8871b07b25146e9e,4482377
bddd5a6310a811ec8871b07b25146e9e,11522529
6b444d3610ac11ec8871b07b25146e9e,1309112
3a2aeb1910a911ec8871b07b25146e9e,68573999
417c6a3410aa11ec8871b07b25146e9e,31849588
d3a34fdb10a711ec8871b07b25146e9e,103845442
1fc2baee10ab11ec8871b07b25146e9e,1727634
d65252f010aa11ec8871b07b25146e9e,91831001
a9ba6215149f11eca228fa164011f743,4152624
0b32306b10a911ec8871b07b25146e9e,121965777
0f375a9710a811ec8871b07b25146e9e,61510168
bb3896a510a811ec8871b07b25146e9e,27886731
1e0f9a0b10a911ec8871b07b25146e9e,30051254
009d0b9b10a811ec8871b07b25146e9e,20783498
6d5c404110ac11ec8871b07b25146e9e,1317226
c2f9051410c911ec8216b07b25146e9e,59533102
939ddb9f10a911ec8871b07b25146e9e,10425422
322faf3f10aa11ec8871b07b25146e9e,28314613
6fb7399710ac11ec8871b07b25146e9e,42170365
c368f76710a911ec8871b07b25146e9e,34318750
23fb0b2d10ab11ec8871b07b25146e9e,6819842
1ba258e110ab11ec8871b07b25146e9e,13968947
e83e816610aa11ec8871b07b25146e9e,164370906
429d630f10a811ec8871b07b25146e9e,58776338
3478e3b110c811ec8216b07b25146e9e,5671890
dd028dac10c411ec8216b07b25146e9e,15373613
5fc29e7e10a911ec8871b07b25146e9e,24727919
9313041110a911ec8871b07b25146e9e,36649751
b0de0cd010ca11ec8216b07b25146e9e,16980955
d837bd7d10a711ec8871b07b25146e9e,190682601
292df62b10ac11ec8871b07b25146e9e,5335195
d208a53610a711ec8871b07b25146e9e,11990525
95de747710cb11ec8216b07b25146e9e,49076052
d7d2e746733c11ecb369fa164011f743,6160115
222e0760185d11eca228fa164011f743,40990750
6ba54118cf3f11eca4f5fa164011f743,44264190
e98cdd3510be11ec8216b07b25146e9e,7086387
ab5b2d2d6f9711ecb369fa164011f743,13829809
2bf546bd10c011ec8216b07b25146e9e,20790576
1bd97a116eb411ecb369fa164011f743,6069938
17d7c87010aa11ec8871b07b25146e9e,19601935
c226d61d689711ecb369fa164011f743,3743592
cb3dd55a10a911ec8871b07b25146e9e,8083983
f9ef6f7d10a911ec8871b07b25146e9e,43837833
