"_id",basicFactData.basicFactDataId,basicFactData.createTimeDate,basicFactData.dataValue.activityDateList,basicFactData.dataValue.code,basicFactData.dataValue.courseId,basicFactData.dataValue.courseIdentifierId,basicFactData.dataValue.coursePeriod,basicFactData.dataValue.effective,basicFactData.dataValue.idCardType,basicFactData.dataValue.message,basicFactData.dataValue.packageId,basicFactData.dataValue.timeLength,basicFactData.dataValue.trainingPersonId,basicFactData.dataValue.userIdentifier,basicFactData.dataValue.userUniqueId,basicFactData.updateTimeDate,behaviorInterruptRecoveryRecord.0.interruptRecoveryId,behaviorInterruptRecoveryRecord.0.interruptRecoveryTime,behaviorInterruptRecoveryRecord.0.interruptRecoveryType,behaviorInterruptRecoveryRecord.1.interruptRecoveryId,behaviorInterruptRecoveryRecord.1.interruptRecoveryTime,behaviorInterruptRecoveryRecord.1.interruptRecoveryType,behaviorInterruptRecoveryRecord.10.interruptRecoveryId,behaviorInterruptRecoveryRecord.10.interruptRecoveryTime,behaviorInterruptRecoveryRecord.10.interruptRecoveryType,behaviorInterruptRecoveryRecord.11.interruptRecoveryId,behaviorInterruptRecoveryRecord.11.interruptRecoveryTime,behaviorInterruptRecoveryRecord.11.interruptRecoveryType,behaviorInterruptRecoveryRecord.12.interruptRecoveryId,behaviorInterruptRecoveryRecord.12.interruptRecoveryTime,behaviorInterruptRecoveryRecord.12.interruptRecoveryType,behaviorInterruptRecoveryRecord.13.interruptRecoveryId,behaviorInterruptRecoveryRecord.13.interruptRecoveryTime,behaviorInterruptRecoveryRecord.13.interruptRecoveryType,behaviorInterruptRecoveryRecord.14.interruptRecoveryId,behaviorInterruptRecoveryRecord.14.interruptRecoveryTime,behaviorInterruptRecoveryRecord.14.interruptRecoveryType,behaviorInterruptRecoveryRecord.15.interruptRecoveryId,behaviorInterruptRecoveryRecord.15.interruptRecoveryTime,behaviorInterruptRecoveryRecord.15.interruptRecoveryType,behaviorInterruptRecoveryRecord.16.interruptRecoveryId,behaviorInterruptRecoveryRecord.16.interruptRecoveryTime,behaviorInterruptRecoveryRecord.16.interruptRecoveryType,behaviorInterruptRecoveryRecord.17.interruptRecoveryId,behaviorInterruptRecoveryRecord.17.interruptRecoveryTime,behaviorInterruptRecoveryRecord.17.interruptRecoveryType,behaviorInterruptRecoveryRecord.18.interruptRecoveryId,behaviorInterruptRecoveryRecord.18.interruptRecoveryTime,behaviorInterruptRecoveryRecord.18.interruptRecoveryType,behaviorInterruptRecoveryRecord.19.interruptRecoveryId,behaviorInterruptRecoveryRecord.19.interruptRecoveryTime,behaviorInterruptRecoveryRecord.19.interruptRecoveryType,behaviorInterruptRecoveryRecord.2.interruptRecoveryId,behaviorInterruptRecoveryRecord.2.interruptRecoveryTime,behaviorInterruptRecoveryRecord.2.interruptRecoveryType,behaviorInterruptRecoveryRecord.20.interruptRecoveryId,behaviorInterruptRecoveryRecord.20.interruptRecoveryTime,behaviorInterruptRecoveryRecord.20.interruptRecoveryType,behaviorInterruptRecoveryRecord.21.interruptRecoveryId,behaviorInterruptRecoveryRecord.21.interruptRecoveryTime,behaviorInterruptRecoveryRecord.21.interruptRecoveryType,behaviorInterruptRecoveryRecord.22.interruptRecoveryId,behaviorInterruptRecoveryRecord.22.interruptRecoveryTime,behaviorInterruptRecoveryRecord.22.interruptRecoveryType,behaviorInterruptRecoveryRecord.23.interruptRecoveryId,behaviorInterruptRecoveryRecord.23.interruptRecoveryTime,behaviorInterruptRecoveryRecord.23.interruptRecoveryType,behaviorInterruptRecoveryRecord.24.interruptRecoveryId,behaviorInterruptRecoveryRecord.24.interruptRecoveryTime,behaviorInterruptRecoveryRecord.24.interruptRecoveryType,behaviorInterruptRecoveryRecord.25.interruptRecoveryId,behaviorInterruptRecoveryRecord.25.interruptRecoveryTime,behaviorInterruptRecoveryRecord.25.interruptRecoveryType,behaviorInterruptRecoveryRecord.26.interruptRecoveryId,behaviorInterruptRecoveryRecord.26.interruptRecoveryTime,behaviorInterruptRecoveryRecord.26.interruptRecoveryType,behaviorInterruptRecoveryRecord.27.interruptRecoveryId,behaviorInterruptRecoveryRecord.27.interruptRecoveryTime,behaviorInterruptRecoveryRecord.27.interruptRecoveryType,behaviorInterruptRecoveryRecord.3.interruptRecoveryId,behaviorInterruptRecoveryRecord.3.interruptRecoveryTime,behaviorInterruptRecoveryRecord.3.interruptRecoveryType,behaviorInterruptRecoveryRecord.4.interruptRecoveryId,behaviorInterruptRecoveryRecord.4.interruptRecoveryTime,behaviorInterruptRecoveryRecord.4.interruptRecoveryType,behaviorInterruptRecoveryRecord.5.interruptRecoveryId,behaviorInterruptRecoveryRecord.5.interruptRecoveryTime,behaviorInterruptRecoveryRecord.5.interruptRecoveryType,behaviorInterruptRecoveryRecord.6.interruptRecoveryId,behaviorInterruptRecoveryRecord.6.interruptRecoveryTime,behaviorInterruptRecoveryRecord.6.interruptRecoveryType,behaviorInterruptRecoveryRecord.7.interruptRecoveryId,behaviorInterruptRecoveryRecord.7.interruptRecoveryTime,behaviorInterruptRecoveryRecord.7.interruptRecoveryType,behaviorInterruptRecoveryRecord.8.interruptRecoveryId,behaviorInterruptRecoveryRecord.8.interruptRecoveryTime,behaviorInterruptRecoveryRecord.8.interruptRecoveryType,behaviorInterruptRecoveryRecord.9.interruptRecoveryId,behaviorInterruptRecoveryRecord.9.interruptRecoveryTime,behaviorInterruptRecoveryRecord.9.interruptRecoveryType,createTime,endTime,ip,isValid,judgmentResultData.correctedInfo,onlineTrainingClientId,owner.platformId,owner.platformVersionId,owner.projectId,owner.subProjectId,owner.unitId,startTime,status,supervisionBehaviorType,supervisionOnlineCourseBehaviorExt.accumulateTime,supervisionOnlineCourseBehaviorExt.timeLength,supervisionOnlineCourseBehaviorExt.totalTimeLength,updateTime,userIdentifier,userSupervisionFactId
2c9082b990642dcb019070cf5fd545a6,2c9082b990642dcb01906d2ca3c11cda,2024-07-05T04:25:09.879Z,[  ],200,DA100004224,DA100004224,5.3,true,0,No errors,f08a5c94aab34d8ea897af15023b022d,15900,3265043810a911ec8871b07b25146e9e,f08a5c94aab34d8ea897af15023b022d,3265043810a911ec8871b07b25146e9e,2024-07-05T04:25:09.879Z,2c9082b990642dcb019070cf5fd545a6_1719879557045,2024-07-02T00:19:17.045Z,0,2c9082b990642dcb019070cf5fd545a6_1719879576984,2024-07-02T00:19:36.984Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2c9082b990642dcb019070cf5fd545a6_1719880056505,2024-07-02T00:27:36.505Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02T00:19:17.160Z,2024-07-02T00:34:38.868Z,183.166.187.4,1,[  ],dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2024-07-02T00:19:17.045Z,3,1,,442,0,2024-07-05T04:25:22.024Z,f08a5c94aab34d8ea897af15023b022d,10ba3758ce9677eb3ac5ed6fea9b0bbd
2c9082b990642dcb019070e51ca84a88,2c9082b990642dcb01906d2ca3c11cda,2024-07-05T04:25:29.355Z,[  ],200,DA100004224,DA100004224,5.3,true,0,No errors,f08a5c94aab34d8ea897af15023b022d,15900,3265043810a911ec8871b07b25146e9e,f08a5c94aab34d8ea897af15023b022d,3265043810a911ec8871b07b25146e9e,2024-07-05T04:25:29.355Z,2c9082b990642dcb019070e51ca84a88_1719880981652,2024-07-02T00:43:01.652Z,0,2c9082b990642dcb019070e51ca84a88_1719881000134,2024-07-02T00:43:20.134Z,1,2c9082b990642dcb019070e51ca84a88_1719883783344,2024-07-02T01:29:43.344Z,0,2c9082b990642dcb019070e51ca84a88_1719883818852,2024-07-02T01:30:18.852Z,1,2c9082b990642dcb019070e51ca84a88_1719884214446,2024-07-02T01:36:54.446Z,0,,,,,,,,,,,,,,,,,,,,,,2c9082b990642dcb019070e51ca84a88_1719881000287,2024-07-02T00:43:20.287Z,0,,,,,,,,,,,,,,,,,,,,,,,,,2c9082b990642dcb019070e51ca84a88_1719881011009,2024-07-02T00:43:31.009Z,1,2c9082b990642dcb019070e51ca84a88_1719881016878,2024-07-02T00:43:36.878Z,0,2c9082b990642dcb019070e51ca84a88_1719881460042,2024-07-02T00:51:00.042Z,1,2c9082b990642dcb019070e51ca84a88_1719882462369,2024-07-02T01:07:42.369Z,0,2c9082b990642dcb019070e51ca84a88_1719882650070,2024-07-02T01:10:50.070Z,1,2c9082b990642dcb019070e51ca84a88_1719882713677,2024-07-02T01:11:53.677Z,0,2c9082b990642dcb019070e51ca84a88_1719882717602,2024-07-02T01:11:57.602Z,1,2024-07-02T00:43:01.807Z,2024-07-02T01:42:38.868Z,183.166.187.4,1,[  ],dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2024-07-02T00:43:01.652Z,3,1,,2533,0,2024-07-05T04:26:29.711Z,f08a5c94aab34d8ea897af15023b022d,10ba3758ce9677eb3ac5ed6fea9b0bbd
2c9082ce9064171c01906d21705217f1,2c9082ce9064171c01906d21705117f0,2024-07-05T04:21:30.509Z,[  ],200,DA100004444,DA100004444,10.0,true,0,No errors,c900655d1f0a44b6a1de774c5db369f3,30000,b624b2ad10a911ec8871b07b25146e9e,c900655d1f0a44b6a1de774c5db369f3,b624b2ad10a911ec8871b07b25146e9e,2024-07-05T04:21:30.509Z,2c9082ce9064171c01906d21705217f1_1719817826374,2024-07-01T07:10:26.374Z,0,2c9082ce9064171c01906d21705217f1_1719817865101,2024-07-01T07:11:05.101Z,1,2c9082ce9064171c01906d21705217f1_1719820134344,2024-07-01T07:48:54.344Z,0,2c9082ce9064171c01906d21705217f1_1719820344512,2024-07-01T07:52:24.512Z,1,2c9082ce9064171c01906d21705217f1_1719820372474,2024-07-01T07:52:52.474Z,0,2c9082ce9064171c01906d21705217f1_1719820413207,2024-07-01T07:53:33.207Z,1,2c9082ce9064171c01906d21705217f1_1719820893097,2024-07-01T08:01:33.097Z,0,,,,,,,,,,,,,,,,2c9082ce9064171c01906d21705217f1_1719817880400,2024-07-01T07:11:20.400Z,0,,,,,,,,,,,,,,,,,,,,,,,,,2c9082ce9064171c01906d21705217f1_1719818067362,2024-07-01T07:14:27.362Z,1,2c9082ce9064171c01906d21705217f1_1719818468888,2024-07-01T07:21:08.888Z,0,2c9082ce9064171c01906d21705217f1_1719818544323,2024-07-01T07:22:24.323Z,1,2c9082ce9064171c01906d21705217f1_1719818558642,2024-07-01T07:22:38.642Z,0,2c9082ce9064171c01906d21705217f1_1719818784084,2024-07-01T07:26:24.084Z,1,2c9082ce9064171c01906d21705217f1_1719818955477,2024-07-01T07:29:15.477Z,0,2c9082ce9064171c01906d21705217f1_1719819078735,2024-07-01T07:31:18.735Z,1,2024-07-01T07:10:26.517Z,2024-07-01T08:12:20.970Z,183.166.187.4,1,[  ],dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2024-07-01T07:10:26.374Z,3,1,,2165,0,2024-07-05T04:22:11.562Z,c900655d1f0a44b6a1de774c5db369f3,d787c27398e7286ce015ec3e34a48562
2c9082b990642dcb01907137df9e5ec8,2c9082b990642dcb01907137df9d5ec7,2024-07-05T04:27:11.560Z,[  ],200,DA100004200,DA100004200,2.4,true,0,No errors,966dffc21d5243e5b336790b4a7769a7,7200,fa91b31f10a711ec8871b07b25146e9e,966dffc21d5243e5b336790b4a7769a7,fa91b31f10a711ec8871b07b25146e9e,2024-07-05T04:27:11.560Z,2c9082b990642dcb01907137df9e5ec8_1719886405521,2024-07-02T02:13:25.521Z,0,2c9082b990642dcb01907137df9e5ec8_1719886452856,2024-07-02T02:14:12.856Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2c9082b990642dcb01907137df9e5ec8_1719886475098,2024-07-02T02:14:35.098Z,0,,,,,,,,,,,,,,,,,,,,,,,,,2c9082b990642dcb01907137df9e5ec8_1719886582576,2024-07-02T02:16:22.576Z,1,,,,,,,,,,,,,,,,,,,2024-07-02T02:13:25.680Z,2024-07-02T02:25:11.447Z,183.166.187.4,1,[  ],dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2024-07-02T02:13:25.521Z,3,1,,550,0,2024-07-05T04:27:27.114Z,966dffc21d5243e5b336790b4a7769a7,ccf052f1478f1a01f2a351c755ac6555
2c9082ce9064171c019070cb416e3d9f,2c9082ce9064171c01906d21705117f0,2024-07-05T04:25:06.572Z,[  ],200,DA100004444,DA100004444,10.0,true,0,No errors,c900655d1f0a44b6a1de774c5db369f3,30000,b624b2ad10a911ec8871b07b25146e9e,c900655d1f0a44b6a1de774c5db369f3,b624b2ad10a911ec8871b07b25146e9e,2024-07-05T04:25:06.572Z,2c9082ce9064171c019070cb416e3d9f_1719879287118,2024-07-02T00:14:47.118Z,0,2c9082ce9064171c019070cb416e3d9f_1719879301073,2024-07-02T00:15:01.073Z,1,2c9082ce9064171c019070cb416e3d9f_1719883756019,2024-07-02T01:29:16.019Z,0,2c9082ce9064171c019070cb416e3d9f_1719883816842,2024-07-02T01:30:16.842Z,1,2c9082ce9064171c019070cb416e3d9f_1719883945419,2024-07-02T01:32:25.419Z,0,2c9082ce9064171c019070cb416e3d9f_1719884091334,2024-07-02T01:34:51.334Z,1,2c9082ce9064171c019070cb416e3d9f_1719884950412,2024-07-02T01:49:10.412Z,0,2c9082ce9064171c019070cb416e3d9f_1719885602148,2024-07-02T02:00:02.148Z,1,2c9082ce9064171c019070cb416e3d9f_1719886167555,2024-07-02T02:09:27.555Z,0,2c9082ce9064171c019070cb416e3d9f_1719886919669,2024-07-02T02:21:59.669Z,1,2c9082ce9064171c019070cb416e3d9f_1719887080643,2024-07-02T02:24:40.643Z,0,2c9082ce9064171c019070cb416e3d9f_1719887915061,2024-07-02T02:38:35.061Z,1,2c9082ce9064171c019070cb416e3d9f_1719881477892,2024-07-02T00:51:17.892Z,0,2c9082ce9064171c019070cb416e3d9f_1719887942711,2024-07-02T02:39:02.711Z,0,2c9082ce9064171c019070cb416e3d9f_1719888301189,2024-07-02T02:45:01.189Z,1,2c9082ce9064171c019070cb416e3d9f_1719888308487,2024-07-02T02:45:08.487Z,0,2c9082ce9064171c019070cb416e3d9f_1719888343945,2024-07-02T02:45:43.945Z,1,2c9082ce9064171c019070cb416e3d9f_1719889060368,2024-07-02T02:57:40.368Z,0,2c9082ce9064171c019070cb416e3d9f_1719889434605,2024-07-02T03:03:54.605Z,1,2c9082ce9064171c019070cb416e3d9f_1719889440373,2024-07-02T03:04:00.373Z,0,2c9082ce9064171c019070cb416e3d9f_1719889452651,2024-07-02T03:04:12.651Z,1,2c9082ce9064171c019070cb416e3d9f_1719882260358,2024-07-02T01:04:20.358Z,1,2c9082ce9064171c019070cb416e3d9f_1719882267903,2024-07-02T01:04:27.903Z,0,2c9082ce9064171c019070cb416e3d9f_1719882293620,2024-07-02T01:04:53.620Z,1,2c9082ce9064171c019070cb416e3d9f_1719882466541,2024-07-02T01:07:46.541Z,0,2c9082ce9064171c019070cb416e3d9f_1719882490296,2024-07-02T01:08:10.296Z,1,2c9082ce9064171c019070cb416e3d9f_1719882492372,2024-07-02T01:08:12.372Z,0,2c9082ce9064171c019070cb416e3d9f_1719882640191,2024-07-02T01:10:40.191Z,1,2024-07-02T00:14:47.253Z,2024-07-02T05:38:40.971Z,183.166.187.4,1,[  ],dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2024-07-02T00:14:47.118Z,3,1,,11579,0,2024-07-05T04:31:15.586Z,c900655d1f0a44b6a1de774c5db369f3,d787c27398e7286ce015ec3e34a48562
2c9082ce9064171c01906c260731061e,2c9082ce9064171c01906c260731061d,2024-07-05T04:19:42.720Z,[  ],200,ZH20246035,ZH20246035,1.8,true,0,No errors,69f30ba806e34c93945ad0e75fe5042d,5400,7f874c1a10ab11ec8871b07b25146e9e,69f30ba806e34c93945ad0e75fe5042d,7f874c1a10ab11ec8871b07b25146e9e,2024-07-05T04:19:42.720Z,2c9082ce9064171c01906c260731061e_1719801349871,2024-07-01T02:35:49.871Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01T02:35:50.067Z,2024-07-01T02:36:11.596Z,183.166.187.4,1,[  ],ZHKJAH,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2024-07-01T02:35:49.871Z,3,1,,0,0,2024-07-05T04:19:43.000Z,69f30ba806e34c93945ad0e75fe5042d,97954e8fe19f3eb751a65485311429a4
2c9082b990642dcb01906c2796d806c8,2c9082b990642dcb01906c2796d706c7,2024-07-05T04:19:44.531Z,[  ],200,DA100002188,DA100002188,2.3,true,0,No errors,a55afdb09967416d8280d498a4fe4871,6900,7f874c1a10ab11ec8871b07b25146e9e,a55afdb09967416d8280d498a4fe4871,7f874c1a10ab11ec8871b07b25146e9e,2024-07-05T04:19:44.531Z,2c9082b990642dcb01906c2796d806c8_1719801452172,2024-07-01T02:37:32.172Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01T02:37:32.380Z,2024-07-01T02:37:53.015Z,183.166.187.4,1,[  ],dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2024-07-01T02:37:32.172Z,3,1,,0,0,2024-07-05T04:19:44.931Z,a55afdb09967416d8280d498a4fe4871,450b9436afe42024a8a1f592b76d822a
2c9082b990642dcb0190724759d226fe,2c9082b990642dcb0190724759d126fd,2024-07-05T04:33:24.722Z,[  ],200,DA100004444,DA100004444,10.0,true,0,No errors,9ae047262643498e9110785fe90c445c,30000,539f810f10a911ec8871b07b25146e9e,9ae047262643498e9110785fe90c445c,539f810f10a911ec8871b07b25146e9e,2024-07-05T04:33:24.722Z,2c9082b990642dcb0190724759d226fe_1719904197063,2024-07-02T07:09:57.063Z,0,2c9082b990642dcb0190724759d226fe_1719904224526,2024-07-02T07:10:24.526Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2c9082b990642dcb0190724759d226fe_1719904613037,2024-07-02T07:16:53.037Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02T07:09:57.172Z,2024-07-02T09:31:59.216Z,183.166.187.4,1,[  ],dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2024-07-02T07:09:57.063Z,3,1,,343,0,2024-07-05T04:37:19.151Z,9ae047262643498e9110785fe90c445c,6861ba7c5521d99f86cd20b4f9e63cc1
2c9082b990642dcb019076234a0d10a4,2c9082b990642dcb01906d2a208f1bed,2024-07-05T04:42:23.739Z,[  ],200,DA100004444,DA100004444,10.0,true,0,No errors,da06c9c6a9c947cb8d727cf4521dabf9,30000,426efe3c10ac11ec8871b07b25146e9e,da06c9c6a9c947cb8d727cf4521dabf9,426efe3c10ac11ec8871b07b25146e9e,2024-07-05T04:42:23.739Z,2c9082b990642dcb019076234a0d10a4_1719968942579,2024-07-03T01:09:02.579Z,0,2c9082b990642dcb019076234a0d10a4_1719968974615,2024-07-03T01:09:34.615Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2c9082b990642dcb019076234a0d10a4_1719969824893,2024-07-03T01:23:44.893Z,0,,,,,,,,,,,,,,,,,,,,,,,,,2c9082b990642dcb019076234a0d10a4_1719969906140,2024-07-03T01:25:06.140Z,1,,,,,,,,,,,,,,,,,,,2024-07-03T01:09:02.720Z,2024-07-03T01:32:58.869Z,183.166.187.4,1,[  ],dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2024-07-03T01:09:02.579Z,3,1,,1139,0,2024-07-05T04:43:09.912Z,da06c9c6a9c947cb8d727cf4521dabf9,6a596eb2c93b3c792a4f452d3b707a10
2c9082b990642dcb01906d2a20901bee,2c9082b990642dcb01906d2a208f1bed,2024-07-05T04:21:36.266Z,[  ],200,DA100004444,DA100004444,10.0,true,0,No errors,da06c9c6a9c947cb8d727cf4521dabf9,30000,426efe3c10ac11ec8871b07b25146e9e,da06c9c6a9c947cb8d727cf4521dabf9,426efe3c10ac11ec8871b07b25146e9e,2024-07-05T04:21:36.266Z,2c9082b990642dcb01906d2a20901bee_1719818395781,2024-07-01T07:19:55.781Z,0,2c9082b990642dcb01906d2a20901bee_1719818427804,2024-07-01T07:20:27.804Z,1,2c9082b990642dcb01906d2a20901bee_1719821573038,2024-07-01T08:12:53.038Z,0,2c9082b990642dcb01906d2a20901bee_1719821640305,2024-07-01T08:14:00.305Z,1,2c9082b990642dcb01906d2a20901bee_1719821647296,2024-07-01T08:14:07.296Z,0,,,,,,,,,,,,,,,,,,,,,,2c9082b990642dcb01906d2a20901bee_1719819055488,2024-07-01T07:30:55.488Z,0,,,,,,,,,,,,,,,,,,,,,,,,,2c9082b990642dcb01906d2a20901bee_1719819066640,2024-07-01T07:31:06.640Z,1,2c9082b990642dcb01906d2a20901bee_1719819148089,2024-07-01T07:32:28.089Z,0,2c9082b990642dcb01906d2a20901bee_1719820953564,2024-07-01T08:02:33.564Z,1,2c9082b990642dcb01906d2a20901bee_1719820958063,2024-07-01T08:02:38.063Z,0,2c9082b990642dcb01906d2a20901bee_1719821004786,2024-07-01T08:03:24.786Z,1,2c9082b990642dcb01906d2a20901bee_1719821010925,2024-07-01T08:03:30.925Z,0,2c9082b990642dcb01906d2a20901bee_1719821186115,2024-07-01T08:06:26.115Z,1,2024-07-01T07:19:55.884Z,2024-07-01T08:25:58.867Z,183.166.187.4,1,[  ],dongao123,ahkjglpttyjg80bdecceebc34fa9bc38,ahkjglpttyjgVerbf15141b400741c79,ahkjglpttyjgprojectIdbf15141b400,ahkjglpttyjgsubProjectId026ea5f8,-1,2024-07-01T07:19:55.781Z,3,1,,1107,0,2024-07-05T04:22:22.868Z,da06c9c6a9c947cb8d727cf4521dabf9,6a596eb2c93b3c792a4f452d3b707a10
